N	T[ms]	dev[ms]	Samples
300	988.55	23.3835	20
600	2055.6	15.6286	20
900	3228.15	82.1323	20
1200	4510.75	166.397	20
1500	5964.5	353.616	20
1800	7469.45	604.554	20
2100	8813.85	350.154	20
2400	10417.5	408.337	20
2700	12155.5	580.676	20
3000	13644.9	501.628	20
N	T[ms]	dev[ms]	Samples
300	970	13.4007	20
600	2104.7	158.533	20
900	3156.05	49.9268	20
1200	4618.65	738.961	20
1500	5720.6	120.462	20
1800	7064.35	236.441	20
2100	8361.55	139.678	20
2400	9889.5	171.223	20
2700	11486.4	151.682	20
3000	13100.4	304.387	20
