N	T[ms]	dev[ms]	Samples
300	23.1	1.02084	20
600	40.15	0.366348	20
900	57.85	0.587143	20
1200	78.35	6.39305	20
1500	93.75	1.83174	20
1800	110.8	0.767772	20
2100	127.75	0.71635	20
2400	146.25	3.33837	20
2700	162.75	0.910465	20
3000	181.65	1.1821	20
N	T[ms]	dev[ms]	Samples
200	1571.65	24.5984	20
400	4729.9	850.313	20
600	8731.6	1128.63	20
800	13097.6	162.422	20
1000	21182.6	3796.42	20
1200	26202.5	503.765	20
1400	34028.3	390.231	20
1600	43376.1	561.108	20
1800	54029.5	687.291	20
2000	65451.6	888.719	20
