N	T[ms]	dev[ms]	Samples
300 17592 30.0192 20
600 27160 29.1372 20
900 34857 29.032 20
1200 43242 29.1141 20
1500 51916 29.2558 20
1800 60024 29.0858 20
2100 73158 28.9899 20
2400 76472 28.948 20
2700 83892 28.8898 20
3000 96013 28.6224 20
N	T[ms]	dev[ms]	Samples
300 39709 29.3757 20
600 136428 29.6896 20
900 287577 29.3366 20
1200 501541 29.0013 20
1500 773854 28.8792 20
1800 1.09602e+06 28.7549 20
2100 1.45372e+06 28.8909 20
2400 1.88401e+06 28.7474 20
2700 2.36462e+06 28.7251 20
3000 2.90646e+06 29.0219 20
N	T[ms]	dev[ms]	Samples
300 37565 29.6126 20
600 125832 29.3243 20
900 275602 28.8761 20
1200 467436 28.7441 20
1500 709732 29.0301 20
1800 985589 28.6431 20
2100 1.31935e+06 28.3756 20
2400 1.70893e+06 28.6624 20
2700 2.15024e+06 28.7464 20
3000 2.64158e+06 28.8789 20
